organization_id,preferred_label,normalization_status
ORG-0001,2050 Materials,Exact public label
ORG-0002,22-partner consortium,Exact public label
ORG-0003,Academic author team,Exact public label
ORG-0004,ADEME,Exact public label
ORG-0005,ADEME and programme partners,Composite label—review before splitting
ORG-0006,ADEME-led nine-partner consortium,Exact public label
ORG-0007,Agent Net Zero team,Exact public label
ORG-0008,AIST-IDEA programme and AIST Solutions licensing service,Composite label—review before splitting
ORG-0009,Alliance HQE-GBC and INIES governance bodies,Composite label—review before splitting
ORG-0010,Argonne National Laboratory,Exact public label
ORG-0011,Athena Sustainable Materials Institute,Exact public label
ORG-0012,AusLCI Database Committee and sector partners,Composite label—review before splitting
ORG-0013,Australian Life Cycle Assessment Society (ALCAS),Exact public label
ORG-0014,BATTERS,Exact public label
ORG-0015,BATTERS / WELOOP experts,Composite label—review before splitting
ORG-0016,BBSR and commissioned technical operators,Composite label—review before splitting
ORG-0017,BBSR-linked technical maintainers and data-network implementers,Composite label—review before splitting
ORG-0018,BioEnergieDat project consortium,Exact public label
ORG-0019,BMWSB/BBSR and InData/ECO Platform technical community,Composite label—review before splitting
ORG-0020,BONSAI community,Exact public label
ORG-0021,BONSAI data contributors and projects,Composite label—review before splitting
ORG-0022,BONSAI network/contributors,Composite label—review before splitting
ORG-0023,BONSAI not-for-profit association,Exact public label
ORG-0024,"BONSAI secretariat, board and contributor network",Composite label—review before splitting
ORG-0025,Brightway developer community,Exact public label
ORG-0026,Brightway developers,Exact public label
ORG-0027,Bureau Veritas CODDE,Exact public label
ORG-0028,Capillar,Exact public label
ORG-0029,Carbon Minds,Exact public label
ORG-0030,Carbonfact science team,Exact public label
ORG-0031,Cascale,Exact public label
ORG-0032,Cascale; exclusively delivered on Worldly,Composite label—review before splitting
ORG-0033,Catena-X Automotive Network e.V.,Exact public label
ORG-0034,Catena-X PCF working groups,Exact public label
ORG-0035,Catena-X PCF/data-model working groups,Composite label—review before splitting
ORG-0036,CEN/TC 350 and national standards bodies,Composite label—review before splitting
ORG-0037,CEPE LCI project,Exact public label
